"unitid","institution name","year","DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of total enrollment that are Asian","DRVEF2022.Percent of total enrollment that are Black or African American","DRVEF2022.Percent of total enrollment that are Hispanic/Latino","DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of total enrollment that are White","DRVEF2022.Percent of total enrollment that are two or more races","DRVEF2022.Percent of total enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of total enrollment that are U.S. Nonresident","DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of total enrollment that are women","DRVEF2022.Percent of undergraduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of undergraduate enrollment that are Asian","DRVEF2022.Percent of undergraduate enrollment that are Black or African American","DRVEF2022.Percent of undergraduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are White","DRVEF2022.Percent of undergraduate enrollment that are two or more races","DRVEF2022.Percent of undergraduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of undergraduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are women","DRVEF2022.Percent of graduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of graduate enrollment that are Asian","DRVEF2022.Percent of graduate enrollment that are Black or African American","DRVEF2022.Percent of graduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of graduate enrollment that are White","DRVEF2022.Percent of graduate enrollment that are two or more races","DRVEF2022.Percent of graduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of graduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of graduate enrollment that are women"
"104179","University of Arizona","2022","1","6","4","26","0","48","5","3","7","6","55","1","5","4","28","0","49","5","3","5","5","56","2","7","4","19","0","44","4","6","15","7","55"
"104346","Central Arizona College","2022","3","2","7","42","1","37","3","3","1","3","62","3","2","7","42","1","37","3","3","1","3","62",,,,,,,,,,,
"104391","Charles of Italy Beauty College","2022","0","1","5","24","0","44","2","25","0","1","98","0","1","5","24","0","44","2","25","0","1","98",,,,,,,,,,,
"104425","Cochise County Community College District","2022","1","2","5","47","0","38","4","1","2","2","55","1","2","5","47","0","38","4","1","2","2","55",,,,,,,,,,,
"104443","Empire Beauty School-Chandler","2022","7","3","25","20","0","15","3","27","0","3","92","7","3","25","20","0","15","3","27","0","3","92",,,,,,,,,,,
"104568","Avalon Institute-Mesa","2022","2","2","13","33","1","46","3","2","0","2","99","2","2","13","33","1","46","3","2","0","2","99",,,,,,,,,,,
"104577","Eastern Arizona College","2022","6","1","1","23","0","64","2","3","1","1","59","6","1","1","23","0","64","2","3","1","1","59",,,,,,,,,,,
"104586","Embry-Riddle Aeronautical University-Prescott","2022","1","6","2","15","1","57","7","2","9","7","27","1","6","2","15","1","58","7","2","9","7","27","0","0","10","7","0","38","10","0","36","0","31"
"104665","The School of Architecture","2022","0","0","0","0","0","67","33","0","0","0","17",,,,,,,,,,,,"0","0","0","0","0","67","33","0","0","0","17"
"104708","Glendale Community College","2022","1","5","6","41","0","39","5","2","1","5","56","1","5","6","41","0","39","5","2","1","5","56",,,,,,,,,,,
"104717","Grand Canyon University","2022","1","3","19","21","1","47","4","3","1","4","73","1","3","15","23","1","48","5","3","1","4","70","1","4","26","18","0","44","3","4","1","4","78"
"105136","Maricopa Community College System Office","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"105145","GateWay Community College","2022","3","3","10","54","0","25","3","2","0","3","65","3","3","10","54","0","25","3","2","0","3","65",,,,,,,,,,,
"105154","Mesa Community College","2022","3","4","5","34","0","45","5","2","1","4","55","3","4","5","34","0","45","5","2","1","4","55",,,,,,,,,,,
"105206","Mohave Community College","2022","2","2","1","27","0","61","4","2","1","2","68","2","2","1","27","0","61","4","2","1","2","68",,,,,,,,,,,
"105215","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","2022","2","0","5","17","0","57","12","5","0","1","7","2","0","5","17","0","57","12","5","0","1","7",,,,,,,,,,,
"105297","Dine College","2022","98","0","0","0","0","1","0","0","0","0","75","98","0","0","0","0","1","0","0","0","0","75","100","0","0","0","0","0","0","0","0","0","50"
"105330","Northern Arizona University","2022","3","3","3","25","0","55","5","3","3","3","63","3","3","3","26","0","56","6","1","2","3","63","3","2","3","18","0","50","3","10","10","2","65"
"105349","Northland Pioneer College","2022","28","1","0","16","0","41","1","13","0","1","64","28","1","0","16","0","41","1","13","0","1","64",,,,,,,,,,,
"105367","Ottawa University-Phoenix","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"105428","Phoenix College","2022","2","3","8","59","0","22","3","2","1","3","64","2","3","8","59","0","22","3","2","1","3","64",,,,,,,,,,,
"105525","Pima Community College","2022","2","3","5","48","0","36","3","2","1","3","57","2","3","5","48","0","36","3","2","1","3","57",,,,,,,,,,,
"105534","Pima Medical Institute-Tucson","2022","2","5","10","39","1","33","8","1","0","6","80","2","5","10","40","1","32","8","1","0","6","80","3","6","5","20","0","57","6","3","0","6","86"
"105543","Pima Medical Institute-Albuquerque","2022","20","2","2","50","1","16","8","1","0","3","84","20","2","2","50","1","16","8","1","0","3","84",,,,,,,,,,,
"105589","Prescott College","2022","1","3","4","5","0","67","1","19","0","3","75","1","4","4","4","0","66","1","18","1","4","64","1","2","4","5","0","67","1","19","0","2","80"
"105659","Refrigeration School Inc","2022","16","1","13","35","1","31","0","2","0","2","9","16","1","13","35","1","31","0","2","0","2","9",,,,,,,,,,,
"105668","Rio Salado College","2022","1","4","6","28","0","51","6","4","0","5","60","1","4","6","28","0","51","6","4","0","5","60",,,,,,,,,,,
"105677","Roberto-Venn School of Luthiery","2022","4","4","0","4","0","89","0","0","0","4","4","4","4","0","4","0","89","0","0","0","4","4",,,,,,,,,,,
"105747","Scottsdale Community College","2022","3","4","4","26","0","54","5","3","1","4","56","3","4","4","26","0","54","5","3","1","4","56",,,,,,,,,,,
"105792","South Mountain Community College","2022","3","3","12","58","0","16","4","2","0","3","58","3","3","12","58","0","16","4","2","0","3","58",,,,,,,,,,,
"105899","Arizona Christian University","2022","1","2","10","26","1","49","7","1","3","2","40","1","2","10","26","1","49","7","1","3","2","40",,,,,,,,,,,
"106041","Universal Technical Institute of Arizona Inc","2022","4","2","3","32","3","37","11","7","0","5","5","4","2","3","32","3","37","11","7","0","5","5",,,,,,,,,,,
"106148","Yavapai College","2022","2","1","1","21","0","66","4","6","0","1","58","2","1","1","21","0","66","4","6","0","1","58",,,,,,,,,,,
"106245","University of Arkansas at Little Rock","2022","1","2","22","3","0","54","11","1","7","2","61","1","2","23","3","0","54","13","0","3","2","62","0","3","17","2","0","55","5","2","16","3","60"
"106263","University of Arkansas for Medical Sciences","2022","0","8","10","7","0","64","4","3","3","8","72","0","8","12","9","0","61","4","6","0","8","84","0","8","9","6","0","67","4","2","4","8","63"
"106306","Arkansas Baptist College","2022","0","0","84","8","0","3","3","0","1","0","23","0","0","84","8","0","3","3","0","1","0","23",,,,,,,,,,,
"106315","Arkansas Beauty School-Little Rock","2022","0","0","92","6","0","2","0","0","0","0","98","0","0","92","6","0","2","0","0","0","0","98",,,,,,,,,,,
"106324","Arkansas Beauty College","2022","3","7","7","7","0","76","0","0","0","7","97","3","7","7","7","0","76","0","0","0","7","97",,,,,,,,,,,
"106342","Lyon College","2022","1","1","6","3","0","51","1","30","7","1","41","1","1","6","3","0","51","1","30","7","1","41",,,,,,,,,,,
"106351","Arkansas Technical School","2022","0","2","83","2","0","13","0","0","0","2","52","0","2","83","2","0","13","0","0","0","2","52",,,,,,,,,,,
"106360","Arthur's Beauty College","2022","6","6","25","0","0","63","0","0","0","6","94","6","6","25","0","0","63","0","0","0","6","94",,,,,,,,,,,
"106397","University of Arkansas","2022","1","3","5","10","0","72","4","1","4","3","56","1","3","4","11","0","74","5","1","2","3","56","1","3","6","8","0","60","3","4","16","3","55"
"106412","University of Arkansas at Pine Bluff","2022","1","0","89","2","0","3","2","0","2","1","56","1","0","90","3","0","3","2","0","2","0","56","0","2","75","1","0","10","1","0","11","2","51"
"106449","Arkansas State University-Beebe","2022","1","1","6","7","0","80","3","2","0","1","59","1","1","6","7","0","80","3","2","0","1","59",,,,,,,,,,,
"106458","Arkansas State University","2022","0","1","14","4","0","70","3","1","6","1","65","0","1","13","5","0","69","3","1","6","1","62","0","1","16","4","0","70","2","1","5","1","71"
"106467","Arkansas Tech University","2022","1","2","6","10","0","74","4","0","2","2","58","1","2","6","11","0","74","4","0","2","2","57","0","1","12","4","0","73","3","0","7","1","65"
"106485","University of Arkansas at Monticello","2022","0","1","28","7","0","57","5","0","1","1","60","0","0","28","8","0","56","6","0","1","1","59","0","1","28","3","0","65","3","0","1","1","67"
"106494","Arthur's Beauty College","2022","0","0","27","0","0","73","0","0","0","0","100","0","0","27","0","0","73","0","0","0","0","100",,,,,,,,,,,
"106546","Baptist Health College Little Rock","2022","0","1","30","4","0","59","4","1","0","1","90","0","1","30","4","0","59","4","1","0","1","90",,,,,,,,,,,
"106625","Black River Technical College","2022","0","1","3","3","0","91","2","0","0","1","63","0","1","3","3","0","91","2","0","0","1","63",,,,,,,,,,,
"106704","University of Central Arkansas","2022","0","2","15","6","0","68","5","0","4","2","64","0","2","17","7","0","65","5","0","4","2","62","0","2","9","4","0","76","4","1","3","2","76"
"106713","Central Baptist College","2022","1","1","15","9","0","62","4","5","5","1","45","1","1","15","9","0","62","4","5","5","1","45",,,,,,,,,,,
"106795","Cossatot Community College of the University of Arkansas","2022","1","0","11","29","0","54","5","0","0","0","64","1","0","11","29","0","54","5","0","0","0","64",,,,,,,,,,,
"106810","Crowley's Ridge College","2022","1","0","15","0","0","83","0","0","0","0","49","1","0","15","0","0","83","0","0","0","0","49",,,,,,,,,,,
"106883","East Arkansas Community College","2022","0","1","39","3","1","54","3","0","0","1","67","0","1","39","3","1","54","3","0","0","1","67",,,,,,,,,,,
"106892","Eastern College of Health Vocations-Little Rock","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"106908","Paul Mitchell the School-Little Rock","2022","3","1","28","6","0","56","4","1","0","1","95","3","1","28","6","0","56","4","1","0","1","95",,,,,,,,,,,
"106980","National Park College","2022","1","2","9","8","0","77","0","2","1","2","59","1","2","9","8","0","77","0","2","1","2","59",,,,,,,,,,,
"106999","University of Arkansas Community College-Batesville","2022","1","1","2","8","0","82","6","0","1","1","66","1","1","2","8","0","82","6","0","1","1","66",,,,,,,,,,,
"107044","Harding University","2022","1","2","7","4","0","79","3","0","4","2","58","0","2","5","4","0","80","4","0","5","2","56","1","2","12","3","0","77","1","1","2","2","64"
"107071","Henderson State University","2022","1","2","22","7","0","63","0","3","2","2","60","1","2","22","7","0","62","0","3","2","2","52","2","1","21","5","0","67","0","2","2","1","79"
"107080","Hendrix College","2022","1","3","7","9","0","69","5","3","3","3","50","1","3","8","9","0","69","5","3","3","3","51","0","0","0","8","0","92","0","0","0","0","17"
"107099","Hot Springs Beauty College","2022","0","0","19","6","0","76","0","0","0","0","94","0","0","19","6","0","76","0","0","0","0","94",,,,,,,,,,,
"107123","Jefferson Regional School of Nursing","2022","0","1","25","7","0","67","0","0","0","1","75","0","1","25","7","0","67","0","0","0","1","75",,,,,,,,,,,
"107141","John Brown University","2022","1","2","3","9","0","69","5","6","5","2","62","2","2","2","9","0","70","5","3","6","2","58","1","1","8","7","0","65","5","12","1","1","73"
"107220","Career Academy of Hair Design","2022","4","0","8","22","0","64","0","1","0","0","98","4","0","8","22","0","64","0","1","0","0","98",,,,,,,,,,,
"107293","Academy of Salon and Spa","2022","16","1","7","12","0","58","4","0","0","1","100","16","1","7","12","0","58","4","0","0","1","100",,,,,,,,,,,
"107318","Arkansas State University Mid-South","2022","1","0","57","4","0","34","3","1","1","0","60","1","0","57","4","0","34","3","1","1","0","60",,,,,,,,,,,
"107327","Arkansas Northeastern College","2022","1","1","30","5","0","61","0","1","0","1","64","1","1","30","5","0","61","0","1","0","1","64",,,,,,,,,,,
"107442","New Tyler Barber College Inc","2022","0","0","96","4","0","0","0","0","0","0","46","0","0","96","4","0","0","0","0","0","0","46",,,,,,,,,,,
"107460","North Arkansas College","2022","1","0","2","10","0","81","4","3","0","1","55","1","0","2","10","0","81","4","3","0","1","55",,,,,,,,,,,
"107488","Northwest Technical Institute","2022","1","1","2","37","5","52","0","0","0","7","27","1","1","2","37","5","52","0","0","0","7","27",,,,,,,,,,,
"107512","Ouachita Baptist University","2022","1","1","6","5","0","81","4","0","2","2","59","1","2","6","6","0","81","4","0","2","2","58","2","0","9","4","0","80","6","0","0","0","89"
"107521","Arkansas State University Three Rivers","2022","2","2","14","8","0","71","1","1","0","2","51","2","2","14","8","0","71","1","1","0","2","51",,,,,,,,,,,
"107549","Ozarka College","2022","1","0","1","2","0","95","0","0","0","1","67","1","0","1","2","0","95","0","0","0","1","67",,,,,,,,,,,
"107558","University of the Ozarks","2022","1","1","6","13","1","43","4","3","28","2","52","1","1","6","13","1","43","4","3","28","2","52",,,,,,,,,,,
"107585","University of Arkansas Community College-Morrilton","2022","0","1","8","14","0","71","5","0","0","1","60","0","1","8","14","0","71","5","0","0","1","60",,,,,,,,,,,
"107600","Philander Smith College","2022","0","0","85","1","2","1","2","2","7","2","59","0","0","85","1","2","1","2","2","7","2","59",,,,,,,,,,,
"107619","Phillips Community College of the University of Arkansas","2022","0","1","52","4","0","41","1","2","0","1","63","0","1","52","4","0","41","1","2","0","1","63",,,,,,,,,,,
"107637","Southeast Arkansas College","2022","0","1","61","18","0","18","2","0","0","1","72","0","1","61","18","0","18","2","0","0","1","72",,,,,,,,,,,
"107655","Professional Cosmetology Education Center","2022","0","0","30","4","0","48","11","7","0","0","100","0","0","30","4","0","48","11","7","0","0","100",,,,,,,,,,,
"107664","University of Arkansas-Pulaski Technical College","2022","1","2","39","13","0","39","4","3","1","2","66","1","2","39","13","0","39","4","3","1","2","66",,,,,,,,,,,
